folder,file,relative_path,priority,pages,metadata_title,metadata_author,error
ACM,ACM_2024_AI_Communication_Integration_6G_ORAN_Evolution.pdf,literature-survey\papers\ACM\ACM_2024_AI_Communication_Integration_6G_ORAN_Evolution.pdf,False,6,The Architecture of AI and Communication Integration towards 6G: An O-RAN Evolution,,
ACM,ACM_2024_Twinning_Commercial_Traces_Open_RAN_Platforms.pdf,literature-survey\papers\ACM\ACM_2024_Twinning_Commercial_Traces_Open_RAN_Platforms.pdf,False,8,Twinning Commercial Network Traces on Experimental Open RAN Platforms,,
ACM,ACM_2025_xApp_Direct_Conflict_Detection_and_Mitigation_in_Testbed.pdf,literature-survey\papers\ACM\ACM_2025_xApp_Direct_Conflict_Detection_and_Mitigation_in_Testbed.pdf,False,84,,,
ACM,P_ACM_2024_SpotLight_Open_RAN_System_for_Dynamic_Spectrum_Access_and_Anomaly_Detection.pdf,literature-survey\papers\ACM\P_ACM_2024_SpotLight_Open_RAN_System_for_Dynamic_Spectrum_Access_and_Anomaly_Detection.pdf,True,4,,,
arXiv,arXiv_2024_AI_Native_Network_Digital_Twin_6G.pdf,literature-survey\papers\arXiv\arXiv_2024_AI_Native_Network_Digital_Twin_6G.pdf,False,9,,,
arXiv,arXiv_2024_Colosseum_Open_RAN_Digital_Twin.pdf,literature-survey\papers\arXiv\arXiv_2024_Colosseum_Open_RAN_Digital_Twin.pdf,False,13,,,
arXiv,arXiv_2024_Cross_Domain_AI_Early_Attack_Detection_ORAN.pdf,literature-survey\papers\arXiv\arXiv_2024_Cross_Domain_AI_Early_Attack_Detection_ORAN.pdf,False,6,,,
arXiv,arXiv_2024_Digital_Twin_for_ORAN_Towards_6G.pdf,literature-survey\papers\arXiv\arXiv_2024_Digital_Twin_for_ORAN_Towards_6G.pdf,False,7,,,
arXiv,arXiv_2024_TwinRAN_Twinning_5G_RAN_Azure_Cloud.pdf,literature-survey\papers\arXiv\arXiv_2024_TwinRAN_Twinning_5G_RAN_Azure_Cloud.pdf,False,10,,,
arXiv,arXiv_2025_AI_RAN_Transforming_RAN_AI_Infrastructure.pdf,literature-survey\papers\arXiv\arXiv_2025_AI_RAN_Transforming_RAN_AI_Infrastructure.pdf,False,7,,-,
arXiv,arXiv_2026_Agentic_AI_Autonomous_ORAN.pdf,literature-survey\papers\arXiv\arXiv_2026_Agentic_AI_Autonomous_ORAN.pdf,False,8,Toward Autonomous O-RAN: A Multi-Scale Agentic AI Framework for Real-Time Network Control and Management,Hojjat Navidan; Mohammad Cheraghinia; Jaron Fontaine; Mohamed Seif; Eli De Poorter; H. Vincent Poor; Ingrid Moerman; Adnan Shahid,
arXiv,arXiv_2026_OpenTwin_Digital_Twin_Closed_Loop_KPM_ORAN.pdf,literature-survey\papers\arXiv\arXiv_2026_OpenTwin_Digital_Twin_Closed_Loop_KPM_ORAN.pdf,False,11,OpenTwin: Digital Twin Driven Closed Loop KPM Inference and Control for Open RAN,Md Sharif Hossen; Zifan Zhang; Dara Ron; Yuchen Liu; Vijay K. Shah,
arXiv,Polese_2022_Understanding_ORAN_Architecture_Interfaces_Security.pdf,literature-survey\papers\arXiv\Polese_2022_Understanding_ORAN_Architecture_Interfaces_Security.pdf,False,33,,,
arXiv,Zero_Touch_Networks_Next_Generation_Automation.pdf,literature-survey\papers\arXiv\Zero_Touch_Networks_Next_Generation_Automation.pdf,False,115,Zero-Touch Networks: Towards Next-Generation Network Automation,Mirna El Rajab; Li Yang; Abdallah Shami; ,
arXiv,ZT_RIC_Zero_Trust_RIC_Framework.pdf,literature-survey\papers\arXiv\ZT_RIC_Zero_Trust_RIC_Framework.pdf,False,7,,,
Elsevier,Elsevier_2023_OpenRAN_Gym_AI_ML_ORAN.pdf,literature-survey\papers\Elsevier\Elsevier_2023_OpenRAN_Gym_AI_ML_ORAN.pdf,False,11,,,
Elsevier,Elsevier_2024_Comprehensive_Survey_on_Digital_Twin_for_Future_Networks_and_IoT.pdf,literature-survey\papers\Elsevier\Elsevier_2024_Comprehensive_Survey_on_Digital_Twin_for_Future_Networks_and_IoT.pdf,False,26,A comprehensive survey on digital twin for future networks and emerging Internet of Things industry,Akram Hakiri,
Elsevier,Elsevier_2025_dApps_Real_Time_AI_Open_RAN_Control.pdf,literature-survey\papers\Elsevier\Elsevier_2025_dApps_Real_Time_AI_Open_RAN_Control.pdf,False,34,dApps: Enabling Real-Time AI-Based Open RAN Control,Andrea Lacava; Leonardo Bonati; Niloofar Mohamadi; Rajeev Gangula; Florian Kaltenberger; Pedram Johari; Salvatore D'Oro; Francesca Cuomo; Michele Polese; Tommaso Melodia,
Elsevier,P_Elsevier_2024_Adversarial_Machine_Learning_Threat_Analysis_and_Remediation_in_ORAN.pdf,literature-survey\papers\Elsevier\P_Elsevier_2024_Adversarial_Machine_Learning_Threat_Analysis_and_Remediation_in_ORAN.pdf,True,24,Adversarial machine learning threat analysis and remediation in Open Radio Access Network (O-RAN),Edan Habler,
Elsevier,P_Elsevier_2024_Drift_Handling_Framework_for_Open_Radio_Access_Networks.pdf,literature-survey\papers\Elsevier\P_Elsevier_2024_Drift_Handling_Framework_for_Open_Radio_Access_Networks.pdf,True,17,The drift handling framework for open radio access networks: An experimental evaluation,Venkateswarlu Gudepu,
Elsevier,P_Elsevier_2025_ORAN_xApps_Survey_and_Research_Challenges.pdf,literature-survey\papers\Elsevier\P_Elsevier_2025_ORAN_xApps_Survey_and_Research_Challenges.pdf,True,46,,,
Elsevier,P_Elsevier_2026_xApp_Distillation_AI_Based_Conflict_Mitigation_in_B5G_ORAN.pdf,literature-survey\papers\Elsevier\P_Elsevier_2026_xApp_Distillation_AI_Based_Conflict_Mitigation_in_B5G_ORAN.pdf,True,12,xApp distillation: AI-based conflict mitigation in B5G O-RAN,Hakan Erdol,
Government-Reports,BSI_5G_RAN_Risk_Analysis.pdf,literature-survey\papers\Government-Reports\BSI_5G_RAN_Risk_Analysis.pdf,False,67,5G Risk Analysis - Detailed Analysis: Radio Access Network (RAN),Federal Office for Information Security,
IEEE,IEEE_2024_AI_Based_Anomaly_Detection_for_Industrial_5G_Networks_by_Distributed_SDR_Measurements.pdf,literature-survey\papers\IEEE\IEEE_2024_AI_Based_Anomaly_Detection_for_Industrial_5G_Networks_by_Distributed_SDR_Measurements.pdf,False,5,AI-Based Anomaly Detection for Industrial 5G Networks by Distributed SDR Measurements,,
IEEE,IEEE_2024_Federated_Continual_Learning_ORAN_Anomaly_Detection.pdf,literature-survey\papers\IEEE\IEEE_2024_Federated_Continual_Learning_ORAN_Anomaly_Detection.pdf,False,6,,,
IEEE,IEEE_2025_Gen_TWIN_Generative_AI_Digital_Twin_ORAN.pdf,literature-survey\papers\IEEE\IEEE_2025_Gen_TWIN_Generative_AI_Digital_Twin_ORAN.pdf,False,7,,,
IEEE,IEEE_2025_Network_Digital_Twin_6G_Beyond_End_to_End.pdf,literature-survey\papers\IEEE\IEEE_2025_Network_Digital_Twin_6G_Beyond_End_to_End.pdf,False,47,,,
IEEE,IEEE_2025_RADAR_Robust_DRL_Based_Resource_Allocation_Against_Adversarial_Attacks_in_ORAN.pdf,literature-survey\papers\IEEE\IEEE_2025_RADAR_Robust_DRL_Based_Resource_Allocation_Against_Adversarial_Attacks_in_ORAN.pdf,False,14,RADAR: Robust DRL-Based Resource Allocation Against Adversarial Attacks in Intelligent O-RAN,,
IEEE,P_IEEE_2024_AI_Enabled_Digital_Twin_Network_in_6G_Survey.pdf,literature-survey\papers\IEEE\P_IEEE_2024_AI_Enabled_Digital_Twin_Network_in_6G_Survey.pdf,True,32,A Comprehensive Survey on Revolutionizing Connectivity Through Artificial Intelligence-Enabled Digital Twin Network in 6G,,
IEEE,P_IEEE_2024_Digital_Twin_Driven_End_to_End_Network_Slicing_Toward_6G.pdf,literature-survey\papers\IEEE\P_IEEE_2024_Digital_Twin_Driven_End_to_End_Network_Slicing_Toward_6G.pdf,True,9,MICyaqoob-3332252_proof.pdf,,
IEEE,P_IEEE_2025_Anomaly_Detection_for_xApp_and_E2_Interface_Threats_in_ORAN_Near_RT_RIC.pdf,literature-survey\papers\IEEE\P_IEEE_2025_Anomaly_Detection_for_xApp_and_E2_Interface_Threats_in_ORAN_Near_RT_RIC.pdf,True,13,,,
IEEE,P_IEEE_2025_COMIX_Generalized_Conflict_Management_in_ORAN_xApps.pdf,literature-survey\papers\IEEE\P_IEEE_2025_COMIX_Generalized_Conflict_Management_in_ORAN_xApps.pdf,True,17,"COMIX: Generalized Conflict Management in O-RAN xApps&#x2014;Architecture, Workflow, and a Power Control Case",,
priority,P_ACM_2024_SpotLight_Open_RAN_System_for_Dynamic_Spectrum_Access_and_Anomaly_Detection.pdf,literature-survey\papers\priority\P_ACM_2024_SpotLight_Open_RAN_System_for_Dynamic_Spectrum_Access_and_Anomaly_Detection.pdf,True,4,,,
priority,P_Elsevier_2024_Adversarial_Machine_Learning_Threat_Analysis_and_Remediation_in_ORAN.pdf,literature-survey\papers\priority\P_Elsevier_2024_Adversarial_Machine_Learning_Threat_Analysis_and_Remediation_in_ORAN.pdf,True,24,Adversarial machine learning threat analysis and remediation in Open Radio Access Network (O-RAN),Edan Habler,
priority,P_Elsevier_2024_Drift_Handling_Framework_for_Open_Radio_Access_Networks.pdf,literature-survey\papers\priority\P_Elsevier_2024_Drift_Handling_Framework_for_Open_Radio_Access_Networks.pdf,True,17,The drift handling framework for open radio access networks: An experimental evaluation,Venkateswarlu Gudepu,
priority,P_Elsevier_2025_ORAN_xApps_Survey_and_Research_Challenges.pdf,literature-survey\papers\priority\P_Elsevier_2025_ORAN_xApps_Survey_and_Research_Challenges.pdf,True,46,,,
priority,P_Elsevier_2026_xApp_Distillation_AI_Based_Conflict_Mitigation_in_B5G_ORAN.pdf,literature-survey\papers\priority\P_Elsevier_2026_xApp_Distillation_AI_Based_Conflict_Mitigation_in_B5G_ORAN.pdf,True,12,xApp distillation: AI-based conflict mitigation in B5G O-RAN,Hakan Erdol,
priority,P_IEEE_2024_AI_Enabled_Digital_Twin_Network_in_6G_Survey.pdf,literature-survey\papers\priority\P_IEEE_2024_AI_Enabled_Digital_Twin_Network_in_6G_Survey.pdf,True,32,A Comprehensive Survey on Revolutionizing Connectivity Through Artificial Intelligence-Enabled Digital Twin Network in 6G,,
priority,P_IEEE_2024_Digital_Twin_Driven_End_to_End_Network_Slicing_Toward_6G.pdf,literature-survey\papers\priority\P_IEEE_2024_Digital_Twin_Driven_End_to_End_Network_Slicing_Toward_6G.pdf,True,9,MICyaqoob-3332252_proof.pdf,,
priority,P_IEEE_2025_Anomaly_Detection_for_xApp_and_E2_Interface_Threats_in_ORAN_Near_RT_RIC.pdf,literature-survey\papers\priority\P_IEEE_2025_Anomaly_Detection_for_xApp_and_E2_Interface_Threats_in_ORAN_Near_RT_RIC.pdf,True,13,,,
priority,P_IEEE_2025_COMIX_Generalized_Conflict_Management_in_ORAN_xApps.pdf,literature-survey\papers\priority\P_IEEE_2025_COMIX_Generalized_Conflict_Management_in_ORAN_xApps.pdf,True,17,"COMIX: Generalized Conflict Management in O-RAN xApps&#x2014;Architecture, Workflow, and a Power Control Case",,
priority,P_Springer_2025_CERBERUS_Secure_Automated_Multi_Operator_Management_in_B5G_ZSM.pdf,literature-survey\papers\priority\P_Springer_2025_CERBERUS_Secure_Automated_Multi_Operator_Management_in_B5G_ZSM.pdf,True,34,,,
priority,P_Springer_2025_Time_Sensitive_Networking_Digital_Twin_for_STRIDE_Based_Security_Testing.pdf,literature-survey\papers\priority\P_Springer_2025_Time_Sensitive_Networking_Digital_Twin_for_STRIDE_Based_Security_Testing.pdf,True,17,Time-Sensitive Networking Digital Twin for STRIDE-based security testing, Andrea Melis ,
Springer,AI_Driven_DTN_Future_Wireless_Survey_2026.pdf,literature-survey\papers\Springer\AI_Driven_DTN_Future_Wireless_Survey_2026.pdf,False,45,,,
Springer,DT_DDPG_AI_UAV_Wireless_2024.pdf,literature-survey\papers\Springer\DT_DDPG_AI_UAV_Wireless_2024.pdf,False,22,Digital twin based DDPG reinforcement learning for sum-rate maximization of AI-UAV communications, Jeongyoon Lee ,
Springer,Energy_Saving_rApps_Open_RAN_2026.pdf,literature-survey\papers\Springer\Energy_Saving_rApps_Open_RAN_2026.pdf,False,27,A development and validation framework for AI/ML-driven rApps in open RAN: a case study on network energy saving,Minhyun Kim ,
Springer,Liu_2025_6G_Autonomous_RAN_AI_NDT.pdf,literature-survey\papers\Springer\Liu_2025_6G_Autonomous_RAN_AI_NDT.pdf,False,53,6G autonomous radio access network empowered by ?artificial intelligence and network digital twin*,"Guangyi LIU??1,2, Juan DENG1,2, Yanhong ZHU1, Na LI1,2, Boxiao HAN2, Shoufeng WANG3, ?Hua RUI4, Jingyu WANG5, Jianhua ZHANG5, Ying CUI6, Yingping CUI1, Yang YANG6, ?Yan ZHANG7, Jiangzhou WANG8, Ye OUYANG3, Xiaozhou YE3, Tao CHEN9, Rongpeng LI10, ?Yongdong ZHU11, Yuanyuan ZHANG9, Li YANG4, Sen BIAN3, Wanfei SUN12, Qingbi ZHENG1, ?Zhou TONG1, Huimin ZHANG1, Zecai SHAO1, Jiajun WU1, Mancong KANG1",
Springer,LLM_Twin_Beyond_5G_DTN_2024.pdf,literature-survey\papers\Springer\LLM_Twin_Beyond_5G_DTN_2024.pdf,False,21,LLM-Twin: mini-giant model-driven beyond 5G digital twin networking framework with semantic secure communication and computation,Yang Hong ,
Springer,P_Springer_2025_CERBERUS_Secure_Automated_Multi_Operator_Management_in_B5G_ZSM.pdf,literature-survey\papers\Springer\P_Springer_2025_CERBERUS_Secure_Automated_Multi_Operator_Management_in_B5G_ZSM.pdf,True,34,,,
Springer,P_Springer_2025_Time_Sensitive_Networking_Digital_Twin_for_STRIDE_Based_Security_Testing.pdf,literature-survey\papers\Springer\P_Springer_2025_Time_Sensitive_Networking_Digital_Twin_for_STRIDE_Based_Security_Testing.pdf,True,17,Time-Sensitive Networking Digital Twin for STRIDE-based security testing, Andrea Melis ,
Standards,AI_RAN_WG1_AI_for_RAN_Whitepaper.pdf,literature-survey\papers\Standards\AI_RAN_WG1_AI_for_RAN_Whitepaper.pdf,False,99,,,
Standards,ETSI_GR_ZSM_015_Digital_Twin_Networks.pdf,literature-survey\papers\Standards\ETSI_GR_ZSM_015_Digital_Twin_Networks.pdf,False,36,GR ZSM 015 - V1.1.1 - Zero-touch network and Service Management (ZSM); Network Digital Twin,ZSM,
Standards,ETSI_TS_103982_O-RAN_Architecture_Description_v08.pdf,literature-survey\papers\Standards\ETSI_TS_103982_O-RAN_Architecture_Description_v08.pdf,False,35,TS 103 982 - V8.0.0 - Publicly Available Specification (PAS); O-RAN Architecture Description (O-RAN.WG1.OAD-R003-v08.00),MSG,
Standards,ETSI_TS_123501_5GS_System_Architecture_R16.pdf,literature-survey\papers\Standards\ETSI_TS_123501_5GS_System_Architecture_R16.pdf,False,455,TS 123 501 - V16.10.0 - 5G; System architecture for the 5G System (5GS)  (3GPP TS 23.501 version 16.10.0 Release 16),TSGS,
Standards,ETSI_TS_133501_5G_Security_R16.pdf,literature-survey\papers\Standards\ETSI_TS_133501_5G_Security_R16.pdf,False,262,TS 133 501 - V16.11.0 - 5G; Security architecture and procedures for 5G System  (3GPP TS 33.501 version 16.11.0 Release 16),TSGS,
Standards,ETSI_TS_138401_NG-RAN_Architecture_R18.pdf,literature-survey\papers\Standards\ETSI_TS_138401_NG-RAN_Architecture_R18.pdf,False,159,TS 138 401 - V18.1.0 - 5G; NG-RAN; Architecture description  (3GPP TS 38.401 version 18.1.0 Release 18),TSGR,
Standards,ORAN_Digital_Twin_RAN_Use_Cases_v1.pdf,literature-survey\papers\Standards\ORAN_Digital_Twin_RAN_Use_Cases_v1.pdf,False,30,,Chen Tao,
Standards,ORAN_RR_2024_02_Cross_Domain_AI.pdf,literature-survey\papers\Standards\ORAN_RR_2024_02_Cross_Domain_AI.pdf,False,39,,Chen Tao,
Standards,ORAN_RR_2024_09_Digital_Twin_RAN_Key_Enablers.pdf,literature-survey\papers\Standards\ORAN_RR_2024_09_Digital_Twin_RAN_Key_Enablers.pdf,False,64,,Chen Tao,
